Latin;Status;Current;Mnemonic;Family;Authority;Notes
Phoebe cinnamomifolia;Obsolete;Cinnamomum triplinerve;phoeci;Lauraceae;;We used this in 1996 and 2004 papers for what Croat called P. mexicanum. We now consider Cinnamomum triplinerve the valid name.
Phoebe cinnamomifolium;Obsolete;Cinnamomum triplinerve;phoeci;Lauraceae;(Kunth) Nees;This is a misspelling that showed up briefly in our database. We spelled it correctly, P. cinnamomifolia, in 1996 and 2004 papers. We now use Cinnamomum triplinerve for this taxon.
Phoebe mexicana;Obsolete;Cinnamomum triplinerve;phoeci;Lauraceae;Meisn.;Croat used this name, but we changed to Phoebe cinnamomifolium for the 1996 and 2004 papers. That too is obsolete though, and we now use is Cinnamomum triplinerve. The combination C. cinnamomifolium has also been used, but never in our database.
Picramnia latifolia;Accepted;Picramnia latifolia;picrla;Picramniaceae;Tul.;
Piper aequale;Accepted;Piper aequale;pipeae;Piperaceae;Vahl;
Piper arboreum;Accepted;Piper arboreum;pipea1;Piperaceae;Aubl.;
Piper carrilloanum;Obsolete;Piper schiedeanum;pipeca;Piperaceae;;This is Croat's name, but Tebbs synonomized with P. schiedeanum in 1990. Most of Croat's BCI specimens are named P. schiedeanum now. We used P. carrilloanum in the 1996 paper. According to Callejas, P. carrilloanum remains a valid species, and in Panama, but not on BCI.
Piper colonense;Accepted;Piper colonense;pipecu;Piperaceae;C.DC.;
Piper cordulatum;Accepted;Piper cordulatum;pipeco;Piperaceae;C. DC.;
Piper culebranum;Obsolete;Piper colonense;pipecu;Piperaceae;;Croat's BCI specimens at Tropicos identified (R. Callejas) as P. culebranum in 2006. However, Tebbs identified them as P. colonense in 1990. Callejas (and Tropicos) consider P. colonense and P. culebranum both valid species, both in central Panama, but BCI specimens are P. culebranum. Our 2004 paper has both species!!
Piper imperiale;Accepted;Piper imperiale;pipeim;Piperaceae;(Miq.) C.DC.;Croat had this correct, and our 1996 paper had it correct. At one point, the misspelling P. imperialis got in our database.
Piper imperialis;Obsolete;Piper imperiale;pipeim;Piperaceae;(Miq.) C. DC.;Correctly spelled P. imperiale. This bad spelling got into our database at one point, but never in any publicatcion.
Piper longispicum;Accepted;Piper longispicum;pipelo;Piperaceae;C.DC.;First identified in 50-ha plot in 2015. Not in Croat nor in 1996 or 2004 papers.
Piper perlasense;Accepted;Piper perlasense;pipepe;Piperaceae;Yunck.;
Piper reticulatum;Accepted;Piper reticulatum;pipere;Piperaceae;L.;
Piper schiedeanum;Accepted;Piper schiedeanum;pipeca;Piperaceae;Steud.;Formerly P. carrilloanum in our data, and the 1996 paper, but we now follow Tebbs and use P. schiedeanum. However, a substantial confusion has arisen because Callejas identified many of Croat's BCI specimens as P. paulowniifolium. Flora Nicaragua by Callejas??
Pithecellobium macradenium;Obsolete;Abarema macradenia;pit1ma;Fabaceae-mimosoideae;;Currently Abarema macradenia. We used the old name in 1996 paper. Barnebey and Grimes (1996) detailed phylogeny of Ingeae reduced Pithecelllobium enormously, and this taxon was transferred to Abarema, as A. macradenia.
Pithecellobium rufescens;Obsolete;Cojoba rufescens;pit1ru;Fabaceae-mimosoideae;;This is Croat’s name, and we used in name in 1996 paper but had updated to Cojoba rufescens in 2004 paper. Barnebey and Grimes (1996) detailed phylogeny of Ingeae reduced Pithecelllobium enormously.
Platymiscium pinnatum;Accepted;Platymiscium pinnatum;pla1pi;Fabaceae-papilionoideae;(Jacq.) Dugand;
Platypodium elegans;Accepted;Platypodium elegans;pla2el;Fabaceae-papilionoideae;Vogel;
Pochota quinata;Accepted;Pochota quinata;pochqu;Bombacaceae;;This has been our most convoluted series of name changes. This was first Bombacopsis quinata, then Pochota quinata (which appears in 1996 paper), then Pachira quinata (in the 2004 paper), but now back to Pochota quinata. However, Pachira sessilis remains. See notes under Pachira quinata.
Pochota sessilis;Obsolete;Pachira sessilis;pochse;Bombacaceae;;Current known as Pachira sessilis. See notes under Pachira quinata.
Pombalia prunifolia;Accepted;Pombalia prunifolia;hybapr;Violaceae;(Humb. & Bonpl. ex Willd.) Paula-Souza;Originally Hybanthus prunifolius following Croat. Several new genera will be needed for Hybanthus (de Paula Souza and Balland 2014). See notes with H. prunifolius.
Posoqueria latifolia;Accepted;Posoqueria latifolia;posola;Rubiaceae;(Rudge) Schult.;
Poulsenia armata;Accepted;Poulsenia armata;poular;Moraceae;(Miq.) Standl.;
Pourouma bicolor;Accepted;Pourouma bicolor;pourbi;Urticaceae;Mart.;This was P. guianensis in Croat, but we followed Berg and changed to this by the late 1980s. P. bicolor appears in 1996 and 2004 papers. A Tropicos specimen now carries the name P. chocoana, but Berg used P. bicolor subsp. chocoana and this is still accepted everywhere (see Flora Mes, CR).
Pourouma guianensis;Obsolete;Pourouma bicolor;pourbi;Urticaceae;;Croat's name for the BCI Pourouma, and we used it at the outset of the 50-ha plot. Berg identified BCI specimens as P. bicolor subsp. chocoana. P. guianensis remains a valid, S. American taxa. P. guianensis never appeared in publications.
Pouteria fossicola;Accepted;Pouteria fossicola;poutfo;Sapotaceae;Cronquist;
Pouteria reticulata;Accepted;Pouteria reticulata;poutre;Sapotaceae;(Engl.) Eyma;We originally followed Croat and called this P. unilocularis, a C. American taxon. Pennington lumped it and 4 other species, and the combined group is widespread and variable. We switched before any publicacions, so this appears as P. reticulata in both 1996 and 2004 papers.
Pouteria stipitata;Accepted;Pouteria stipitata;poutst;Sapotaceae;Cronquist;
Pouteria unilocularis;Obsolete;Pouteria reticulata;poutre;Sapotaceae;;Croat used this C. American name, and we followed at the outset of the 50-ha plot. Pennington (1990) recognizes distinctions, but lumped 5 species, including this C. American form, under P. reticulata, and we made the switch by 1990. This appears as P. reticulata in both 1996 and 2004 papers.
Prioria copaifera;Accepted;Prioria copaifera;pri2co;Fabaceae-caesalpinioideae;Griseb.;
Protium confusum;Accepted;Protium confusum;protsp;Burseraceae;(Rose) Pittier;"This Protium could not be identified from Croat and was censused as a morphospecies until 2000, called Protium skinny; in the 1996 paper it was called Protium sp. nov. It was finally matched to P. confusum, not a new species."
Protium costaricense;Accepted;Protium costaricense;protco;Burseraceae;(Rose) Engl.;
Protium panamense;Accepted;Protium panamense;protpa;Burseraceae;(Rose) I.M.Johnst.;
Protium skinny;Obsolete;Protium confusum;protsp;Burseraceae;;A morphospecies name for a distinct but unidentified Protium with narrow leaflets. Finally identified as P. confusum.
Protium sp. nov.;Obsolete;Protium confusum;protsp;Burseraceae;;The name appearing in our 1996 paper for the unidentified Protium, known in our early databases as Protium skinny, later identified as P. confusum.
Protium tenuifolium;Obsolete;Protium tenuifolium subsp. sessiliflorum;protte;Burseraceae;Engl.;A subspecies distinct from the BCI species, known only at two distant plots.  
Protium tenuifolium subsp. sessiliflorum;Accepted;Protium tenuifolium subsp. sessiliflorum;protte;Burseraceae;Engl.;A subspecies distinct from the BCI species, known only at two distant plots.  
Pseudobombax septenatum;Accepted;Pseudobombax septenatum;pse1se;Malvaceae;(Jacq.) Dugand;
Psidium anglohondurense;Obsolete;Chamguava schippii;cha2sc;Myrtaceae;;Croat used this name, and we used this during the 1980s. We switched to Chamguava schippii by the 1996 and 2004 papers, following Landrum’s (1991) revision. See notes with the latter.
Psidium friedrichsthalianum;Accepted;Psidium friedrichsthalianum;psidfr;Myrtaceae;(O.Berg) Nied.;
Psychotria acuminata;Obsolete;Palicourea acuminata;psycac;Rubiaceae;Benth.;This is name that Croat used. C.M. Taylor et al (2015) moved several Psychotria to Palicourea. Taylor (pers. comm.) indicates many past collectors did not correctly understand character differences between genera. Many more Psychotria will be moved. See also Borhidi (2011) about the transfer.
Psychotria brachiata;Obsolete;Palicourea brachiata;psycb1;Rubiaceae;Sw.;This is Croat’s name, and we used in 1996 paper. Moved to Psychotria following Borhidi2011.
Psychotria chagrensis;Accepted;Psychotria chagrensis;psycch;Rubiaceae;Standl.;
Psychotria cyanococca;Obsolete;Palicourea cyanococca;psycpi;Rubiaceae;Seem. ex Dombrain;Currently P. cyanococca, a prior name. No change in species circumscription (Taylor pers. comm.).
Psychotria deflexa;Obsolete;Palicourea deflexa;psycde;Rubiaceae;DC.;This is Croat’s name, and we used in 1996 and 2004 papers. Moved to Psychotria following Borhidi2011.
Psychotria furcata;Obsolete;Palicourea hoffmannseggiana;psycfu;Rubiaceae;;Croat's name and the name appearing in 1996 paper, but we switched to P. hoffmannseggiana, following Burger and Taylor (Flora Costaricensis). This lumps the C. American/Choco P. furcata into a widespread species. As of 2011, this and many other Psychotria were moved under Palicourea.
Psychotria graciliflora;Accepted;Psychotria graciliflora;psycg1;Rubiaceae;Benth.;Not in Croat but identified in 1982 census.
Psychotria granadensis;Obsolete;Psychotria tenuifolia;psycg2;Rubiaceae;;Croat's name and our original name, and we used in the 1996 paper. We later switched to P. tenuifolia following Hamilton (1989) Psychotria of C. America (Taylor pers. comm.).
Psychotria grandis;Accepted;Psychotria grandis;psycg3;Rubiaceae;Sw.;
Psychotria hoffmannseggiana;Obsolete;Palicourea hoffmannseggiana;psycfu;Rubiaceae;(Willd. ex Schult.) Müll.Arg.;Formerly P. furcata, but Burger and Taylor lumped C. American group under this. To further confusion, this was switched under Palicourea by Taylor (pers. comm.) and Borhidi2011 in the big revision of New World Psychotria.
Psychotria horizontalis;Accepted;Psychotria horizontalis;psycho;Rubiaceae;Sw.;
Psychotria limonensis;Accepted;Psychotria limonensis;psycli;Rubiaceae;K.Krause;
Psychotria marginata;Accepted;Psychotria marginata;psycma;Rubiaceae;Sw.;
Psychotria pittieri;Obsolete;Palicourea cyanococca;psycpi;Rubiaceae;Standl.;Croat’s name, and we used in 1996 paper. Later switched to P. cyanococca, an earlier name for the same species found in Flora Nicaragua. 
Psychotria psychotriifolia;Accepted;Psychotria psychotriifolia;psycps;Rubiaceae;(Seem.) Standl.;Croat includes this, but it did not appear in the 50-ha plot until 1995 and is thus not in the 1996 paper.
Psychotria racemosa;Obsolete;Palicourea racemosa;psycra;Rubiaceae;Rich.;This is Croat’s name, and we used in 1996 paper. Moved to Psychotria following Borhidi2011.
Psychotria tenuifolia;Accepted;Psychotria tenuifolia;psycg2;Rubiaceae;Sw.;Formerly P. granadensis and published under that name in 1996 paper. Hamilton (1989) synonomized under this widespread S. American form, and Taylor (pers. comm.) agrees.
Pterocarpus belizense;Obsolete;Pterocarpus officinalis;pterbe;Fabaceae-papilionoideae;;An old misspelling of P. belizensis briefly in our database, never appearing in print. See notes with P. belizensis.
Pterocarpus belizensis;Obsolete;Pterocarpus officinalis;pterbe;Fabaceae-papilionoideae;Standl.;The 1996 paper uses this name for the rare BCI species, ie P. officianalis. Tropicos shows this as synonym of P. officianalis. But Henshold lists it as synonym of P. rohrii=P. hayesii, though that appears to be a misunderstanding. Robin believes he found a single specimen of a distinct Pterocarpus on BCI, ie a third species, and tentatively considered it was P. belizensis.
Pterocarpus hayesii;Accepted;Pterocarpus hayesii;pterro;Fabaceae-papilionoideae;Hemsl.;Formerly P. rohrii, and that old name was used in 1996 and 2004 papers.
Pterocarpus officinalis;Accepted;Pterocarpus officinalis;pterof;Fabaceae-papilionoideae;Jacq.;A swamp species, rare on BCI, only 9 in plot and dying off. We listed it as P. belizensis in 1996 paper,  but that appears to be a miscommunication. This has always been P. officianalis since Croat's identification.
Pterocarpus rohrii;Obsolete;Pterocarpus hayesii;pterro;Fabaceae-papilionoideae;Vahl;Croat’s name, and we followed in 1996 and 2004 papers. Later, following N. Zamora, we consider this P. hayesii, contra Tropicos. According to Zamora, P. hayesii and P. rohrii are different species, both valid, but P. rohrii is only in South America.
Quararibea asterolepis;Accepted;Quararibea asterolepis;quaras;Malvaceae;Pittier;Whether BCI specimens belong in Q. asterolepis subsp. stenophylla, Q. stenophylla, or Q. asterolepis, is unresolved at Tropicos.
Quassia amara;Accepted;Quassia amara;quasam;Simaroubaceae;L.;
Randia armata;Accepted;Randia armata;randar;Rubiaceae;(Sw.) DC.;
Randia formosa;Obsolete;Rosenbergiodendron formosum;randfo;Rubiaceae;;Croat's and our original name, and we used it in 1996 paper. This, with a small set of Randia species, were split off into a new genus, and from 2004 paper this became Rosenbergiodendron formosum
Rauvolfia littoralis;Accepted;Rauvolfia littoralis;rauvli;Apocynaceae;Rusby;Does not appear in Croat. Discovered on BCI in 50-ha plot in 1995 census.
Rheedia acuminata;Obsolete;Garcinia madruno;gar2ma;Clusiaceae;;Croat’s name, now Garcinia madruno. See notes with R. edulis and Hammel (1989). We never published this name because we had changed before 1996.
Rheedia edulis;Obsolete;Garcinia recondita;gar2in;Clusiaceae;;Croat’s name, but Garcinia intermedia in the 1996 paper, now Garcinia recondita. We never published Rheedia because we had changed before 1996. Need for moving Rheedia to Garcinia was noted as early as 1958 by Robson (on African flora). Rheedia had been New World, but traits separating it from Garcinia are inconsistent. Hammel (1989) assigned new combination G. intermedia, since G. edulis was not available. No change in species boundary. Hammel’s reidentification of BCI specimens as G. recondita still not published as of 2017 (Hammel pers. comm.) 
Rinorea sylvatica;Accepted;Rinorea sylvatica;rinosy;Violaceae;(Seem.) Kuntze;
Rosenbergiodendron formosum;Accepted;Rosenbergiodendron formosum;randfo;Rubiaceae;(Jacq.) Fagerl.;Formerly Randia formosa and appearing as such in 1996 paper, changed to Rosenbergiodendron formosum by 2004 paper. This and 3 other species were shown to be outside Randia (DNA and morphology). The species circumscription was nearly unchanged, though a Guyana segregate was split, so the new R. formosum has a slightly smaller range (Taylor pers. comm.).
Sapium aucuparium;Obsolete;Sapium glandulosum;sapiau;Euphorbiaceae;;We used this name in 1996 paper for what Croat called S. caudatum. Then Krujit (1996) moved S. aucuparium under S. glandulosum, which we have adopted. Specimens at Tropicos identified by R. Liesner as S. glandulosum. See notes under S. caudatum for further confusion about Croat’s names.
Sapium broadleaf;Accepted;Sapium broadleaf;sapisp;Euphorbiaceae;;
Sapium caudatum;Obsolete;Sapium glandulosum;sapiau;Euphorbiaceae;Pitt.;There has been much confusion about Sapium names. Croat used this name, but  Webster and Huft (1988) moved S. caudatum under S. aucuparium and discussed problems. We followed Croat and used S. caudatum when the 50-ha censuses started, but switched to S. aucuparium by the late 1980s. Croat also used S. aucuparium for a different taxon, but his description matches S. laurifolium. The latter, however, has never otherwise observed or collected at BCI, and that specimen should be S. glandulosum.
Sapium glandulosum;Accepted;Sapium glandulosum;sapiau;Euphorbiaceae;(L.) Morong;Krujit synonomized S. aucuparium with this. R. Liesner identifed BCI specimens as S. glandulosum. 
Sapium sp 1;Obsolete;Sapium broadleaf;sapisp;Euphorbiaceae;;We used this name in the 2004 paper for the Sapium in the Sherman plot. They match Sapium broadleaf, the yet-to-be-described new species at BCI.
Sapium sp. nov.;Obsolete;Sapium broadleaf;sapisp;Euphorbiaceae;;The name we used in 1996 paper for what we call Sapium broadleaf. We believe it is a new species, yet undescribed, and M. Huft (pers. comm.) confirms. The Foster BCI specimen from the 50-ha plot remains unnamed at Tropicos (Foster 2942).
Scheelea zonensis;Obsolete;Attalea rostrata;sch1zo;Arecaceae;;Croat’s name, and this appears in 1996 paper. Henderson eliminated Scheelea and moved into Attalea. This became A. butyracea in the 2004 paper.
Schefflera morototoni;Accepted;Schefflera morototoni;sch2mo;Araliaceae;(Aubl.) Maguire, Steyerm. & Frodin;We originally used Didymopanax morototoni for this, following Croat. But Frodin (1975) moved the entire genus Didymopanax into Schefflera, as new species added blurred distinctions. A DNA phylogeny confirmed this (Fiaschi & Plunkett 2011). We had the correct S. morototoni in the 1996 and 2004 papers.
Schizolobium parahyba;Accepted;Schizolobium parahyba;schipa;Fabaceae-caesalpinioideae;(Vell.) S.F. Blake;This is the correct spelling of Croat's S. parahybum. We had the bad spelling in 1996 paper but corrected in database afterwards.
Schizolobium parahybum;Obsolete;Schizolobium parahyba;schipa;Fabaceae-caesalpinioideae;;Croat used this misspelling of S. parahyba. We repeated the error in the 1996 paper. 
Senna dariensis;Accepted;Senna dariensis;sennda;Fabaceae-caesalpinioideae;(Britton & Rose) H.S. Irwin & Barneby;Formerly Cassia fruticosa, but we had corrected to Senna by the 1996 and 2004 papers. Irwin and Barneby 1982 split Cassia into 3 genera, including Senna. Reviewed in Marazzi, with DNA phylogeny confirming monophyly of Senna. Known as S. dariensis var. gatunensis in Tropicos.
Simarouba amara;Accepted;Simarouba amara;simaam;Simaroubaceae;Aubl.;
Siparuna cristata;Accepted;Siparuna cristata;sipacr;Siparunaceae;(Poepp. & Endl.) A. DC.;On BCI, this was formerly identified as S. guianensis, following Croat. Renner re-identified the Tropicos on BCI specimens as S. cristata in 1999. See notes with S. guianensis.
Siparuna guianensis;Obsolete;Siparuna cristata;sipagu;Siparunaceae;Aubl.;Croat used S. guianensis for the less common BCI species of Siparuna, but those in the BCI plot are now reidentified S. cristata. We used the old name in early 50-ha plot censuses and it appears as S. guianensis in the 1996 paper. Though no longer known on BCI, S. guianensis remains a valid species in Panama, with many Canal Area specimens at Tropicos still called S. guianensis. We currently retain the name in 3 other plots, though those specimens may yet be re-identified.
Siparuna pauciflora;Accepted;Siparuna pauciflora;sipapa;Siparunaceae;(Beurl.) A. DC.;
Sloanea terniflora;Accepted;Sloanea terniflora;sloate;Elaeocarpaceae;(Moc. & Sessé ex DC.) Standl.;
Socratea durissima;Obsolete;Socratea exorrhiza;socrex;Arecaceae;;Croat used this name, a Central American taxon, and we followed in the 1982 census. But Croat acknowledged the possibility it is not distinct from the South American, S. exorrhiza, and we had switched by the late 1980s and used the S. exorrhiza in 1996 and 2004 papers.
Socratea exorrhiza;Accepted;Socratea exorrhiza;socrex;Arecaceae;(Mart.) H.Wendl.;We used this in 1996 and 2004 papers, changing from Croat, who called this S. durissima. See notes there. Henderson (1997) lumped S. durissima with the S. American S. exorrhiza.
Solanum arboreum;Accepted;Solanum arboreum;solaar;Solanaceae;Dunal;
Solanum argenteum;Obsolete;Solanum lepidotum;solast;Solanaceae;Dunal;This is Croat’s name, and we used it in 1982. It is, however, an Incorrect identification, now S. lepidotum. We mistakenly called it S. steyemarkii in 1996 paper, which is wrong taxon and misspelled (should be S. steyermarkii).
Solanum asperum;Accepted;Solanum asperum;solaas;Solanaceae;Rich.;
Solanum circinatum;Accepted;Solanum circinatum;cyphha;Solanaceae;Bohs;Bohs (1995) collapsed entire genus Cyphomandra into Solanum. DNA phylogeny shows both it and Lycopersicon nested within Solanum. No change in species circumscription.
Solanum hayesii;Accepted;Solanum hayesii;solaha;Solanaceae;Fernald;
Solanum lepidotum;Accepted;Solanum lepidotum;solast;Solanaceae;Dunal;Nee says Panama and Andes specimens should be this, while E. Brazil specimens are different. So Brazil specimens were first argenteum, changed to lepidotum by Soto, changed back to argenteum by Nee
Solanum steyemarkii;Obsolete;Solanum lepidotum;solast;Solanaceae;;This is a misspelling of S. steyermarkii that appeared in our 1996 BCI paper. But the valid name is now S. lepidotum.
Solanum steyermarkii;Obsolete;Solanum lepidotum;solast;Solanaceae;Carvalho;Carvalho's describes this species as new and attributes all BCI specimens (including Robin's) to it. But there is much doubt: elevation range is otherwise given as > 500 m, and height range to 35 m. Knapp et al (2005) and Tropicos now reject it. Nee gives this as alt name for FMNH specimens of lepidotum.
Sorocea affinis;Accepted;Sorocea affinis;soroaf;Moraceae;Hemsl.;
Spachea membranacea;Accepted;Spachea membranacea;spacme;Malpighiaceae;Cuatrec.;
Spondias mombin;Accepted;Spondias mombin;sponmo;Anacardiaceae;L.;
Spondias radlkoferi;Accepted;Spondias radlkoferi;sponra;Anacardiaceae;Donn.Sm.;
Stemmadenia grandiflora;Obsolete;Tabernaemontana grandiflora;stemgr;Apocynaceae;(Jacq.) Miers;Croat's name, widely accepted across S. America, and we used it in 1996 and 2004 papers. Morales moved it, collapsing the entire genus under Tabernaemontana
Sterculia apetala;Accepted;Sterculia apetala;sterap;Malvaceae;(Jacq.) H.Karst.;
Stylogyne standleyi;Obsolete;Stylogyne turbacensis;stylst;Myrsinaceae;;Croat used this name, a taxon described from BCI. We followed Croat, and this name appears in 1996 and 2004 papers. Ricketson and Pipoly (1997) synonomized under the wide-ranging S. turbacensis, saying that across the range, characters of several local taxa overlap with S. turbacensis.
Stylogyne turbacensis;Accepted;Stylogyne turbacensis;stylst;Myrsinaceae;(Kunth) Mez;Formerly S. standleyi, in both 1996 and 2004 paper. We since switched to S. turbacensis, following the monograph of Ricketson and Pipoly (1997).
Swartzia simplex var. continentalis;Accepted;Swartzia simplex var. continentalis;swars2;Fabaceae-papilionoideae;(Sw.) Spreng.;Formerly S. s. var. ochnaceae, and appearing as the latter in 1996 and 2004 papers. 
Swartzia simplex var. grandiflora;Accepted;Swartzia simplex var. grandiflora;swars1;Fabaceae-papilionoideae;(Sw.) Spreng.;Formerly S. s. var. ochnaceae, and appearing as the latter in 1996 and 2004 papers. 
Swartzia simplex var. ochnacea;Obsolete;Swartzia simplex var. continentalis;swars2;Fabaceae-papilionoideae;(Sw.) Spreng.;Formerly S. s. var. ochnaceae, and appearing as the latter in 1996 and 2004 papers. 
Symphonia globulifera;Accepted;Symphonia globulifera;sympgl;Clusiaceae;L.f.;
Tabebuia guayacan;Obsolete;Handroanthus guayacan;tab1gu;Bignoniaceae;(Seem.) Hemsl.;DNA phylogeny shows the genus Tabebuia to be polyphyletic. and the yellow-fllowered taxa were moved into Handroanthus. 
Tabebuia rosea;Accepted;Tabebuia rosea;tab1ro;Bignoniaceae;(Bertol.) DC.;
Tabernaemontana arborea;Accepted;Tabernaemontana arborea;tab2ar;Apocynaceae;Rose ex J.D.Sm.;
Tabernaemontana grandiflora;Accepted;Tabernaemontana grandiflora;stemgr;Apocynaceae;Jacq.;Formerly Stemmadenia grandiflora, appearing as such in 1996 and 2004 papers. We are following Morales and placing it in Tabernaemontana.
Tachigalia versicolor;Obsolete;Tachigali panamensis;tachve;Fabaceae-caesalpinioideae;;This is Croat’s misspelling of T. versicolor. We had it corrected by the 1996 paper, but used it in our own database for sometime before that.
Tachigali panamensis;Accepted;Tachigali panamensis;tachve;Fabaceae-caesalpinioideae;van der Werff & N.Zamora;Formerly T. versicolor, following Croat, but van der Werff in 2010 erected this new name for Panama specimens. This appears as T. versicolor in 1996 and 2004 papers.
Tachigali versicolor;Obsolete;Tachigali panamensis;tachve;Fabaceae-caesalpinioideae;Standl. & L.O.Williams;Croat’s name, and we used through 2015, including 1996 and 2004 papers. We now follow van der Werff et al. (2010) and use the new name T. panamensis. T. versicolor is valid but only in CR. It lacks pinnate stipule.
Talisia croatii;Accepted;Talisia croatii;talipr;Sapindaceae;Acev.-Rodr.;Formerly T. princeps, but Acevedo-Rodriguez described in 2003, Fl. Neotrop.
Talisia nervosa;Accepted;Talisia nervosa;taline;Sapindaceae;Radlk.;
Talisia princeps;Obsolete;Talisia croatii;talipr;Sapindaceae;Oliv.;Croat's original name, and we used in 1996 paper. Currently T. croatii.
Terminalia amazonia;Accepted;Terminalia amazonia;termam;Combretaceae;(J.F.Gmel.) Exell;We followed Croat’s error and spelled this incorrectly as T. amazonica through the 1996 paper. It was corrected in 2004 paper.
Terminalia amazonica;Obsolete;Terminalia amazonia;termam;Combretaceae;;"Croat’s incorrect spelling of T. amazonia; it appears in our 1996 paper but was corrected by the 2004 paper."
Terminalia chiriquensis;Obsolete;Terminalia oblonga;termob;Combretaceae;;This was Croat's name, but it was obsolete before the plot started. By 1981, Robin's specimens were identified as T. oblonga by Stace.
Terminalia oblonga;Accepted;Terminalia oblonga;termob;Combretaceae;(Ruiz & Pav.) Steud.;Our name since the plot began. Croat used T. chiriquensis, but that was synonomized before 1982. See Fl. Nic.
Ternstroemia tepezapote;Accepted;Ternstroemia tepezapote;ternte;Pentaphylacaceae;Schltdl. & Cham.;
Tetragastris panamensis;Accepted;Tetragastris panamensis;tet2pa;Burseraceae;(Engl.) Kuntze;
Tetrathylacium johansenii;Accepted;Tetrathylacium johansenii;tet4jo;Salicaceae;Standl.;
Theobroma cacao;Accepted;Theobroma cacao;theoca;Malvaceae;L.;
Thevetia ahouai;Accepted;Thevetia ahouai;thevah;Apocynaceae;(L.) A.DC.;
Tocoyena pittieri;Accepted;Tocoyena pittieri;tocopi;Rubiaceae;(Standl.) Standl.;
Tovomitopsis nicaraguensis;Obsolete;Chrysochlamys eclipes;chr1ec;Clusiaceae;Oerst., Planch. & Triana;"Croat used this name, but it is a double error. First, Tovomitopsis has been  synonomized with Chrysoclamys more often than not for over 100 years; Hammel (1999) cleared this up in favor of Chrysoclamys. Second, C. nicaraguensis remains a valid species, but quite distinct, and not on BCI, where C. eclipes is correct. Hammel (1999) provides a clear explanation of all."
Trattinnickia aspera;Accepted;Trattinnickia aspera;tratas;Burseraceae;(Standl.) Swart;
Trema integerrima;Accepted;Trema integerrima;tremin;Cannabaceae;(Beurl.) Standl.;Croat mentioned this taxon, but did not consider it present on BCI. In 2010, we reassessed the genus and recognized several individuals in the 50-ha plot as belonging to T. integerrima, formerly identified as T. micrantha. See notes with Trema unidentified.
Trema micrantha;Accepted;Trema micrantha;tremmi;Cannabaceae;(L.) Blume;All Trema in the 50-ha plot were identified as this species until 2010. But several individuals that had been alive prior to 2010 (one back to 1990) were reidentified, forcing us to reassess the genus. See notes with Trema unidentified.
Trema unidentified;Accepted;Trema unidentified;tremsp;Cannabaceae;;Because we reassessed the genus in 2010, any individuals of Trema that had died earlier could not be reidentified, and all are now called Trema unidentified.
Trichanthera gigantea;Accepted;Trichanthera gigantea;tri1gi;Acanthaceae;(Bonpl.) Nees;
Trichilia cipo;Obsolete;Trichilia tuberculata;tri2tu;Meliaceae;(A. Juss.) C. DC.;Croat's misidentification of T. tuberculata, but Pennington corrected by 1981, also in Pennington (2016). T. cipo is valid but only in S. America. We had changed to T. tuberculata before the plot census began, following Pennington (1981). Tropicos still has Panama specimens, including Croat’s from BCI, under the erroneous T. cipo.
Trichilia montana;Obsolete;Trichilia pallida;tri2pa;Meliaceae;;Croat's name, but we had changed to T. pallida before the plot census began, following Pennington in Fl. Neotrop.
Trichilia pallida;Accepted;Trichilia pallida;tri2pa;Meliaceae;Sw.;Listed as T. montana in Croat, but we had changed to T. pallida before the plot began (Pennington 1981).
Trichilia tuberculata;Accepted;Trichilia tuberculata;tri2tu;Meliaceae;(Triana & Planch.) C. DC.;Listed as T. cipo in Croat, but we had corrected to T. tuberculata before the plot began (Pennington 1981).
Trichospermum galeottii;Accepted;Trichospermum galeottii;tri4ga;Malvaceae;(Turcz.) Kosterm.;Croat listed as T. mexicanum, but that name was obsolete by the early 1980s. BCI specimens renamed by Meijer in 1980 (see Fl. Nic.). 
Trichospermum mexicanum;Obsolete;Trichospermum galeottii;tri4ga;Malvaceae;(DC.) Baill.;Croat's name, but we had changed to T. galeottii by 1982, and both 1996 and 2004 papers list T. galeottii.
Triplaris cumingiana;Accepted;Triplaris cumingiana;tripcu;Polygonaceae;Fisch. & C.A.Mey.;
Trophis caucana;Accepted;Trophis caucana;olmeas;Moraceae;(Pittier) C.C. Berg;Originally Olmedia aspera, and that older name appeared in 1996 paper. Updated to Trophis caucana, following Berg (1988). See notes under Olmedia.
Trophis racemosa;Accepted;Trophis racemosa;tropra;Moraceae;(L.) Urb.;
Turpinia occidentalis;Accepted;Turpinia occidentalis;turpoc;Tapisciaceae;(Sw.) G.Don;
Unidentified species;Accepted;Unidentified species;uniden;Unknown;;
Unonopsis pittieri;Accepted;Unonopsis pittieri;unonpi;Annonaceae;Saff.;
Urera baccifera;Accepted;Urera baccifera;urerba;Urticaceae;(L.) Gaudich. ex Wedd.;Not in Croat but identified in 1982 census.
Vachellia melanoceras;Accepted;Vachellia melanoceras;acacme;Fabaceae;(Beurl.) Seigler & Ebinger;Formerly Acacia melanoceras through 2015, following Croat’s originally name. A long-running and heated debate finally ended around 2010 with the American Acacia settling in two new genera, Vachellia and Senegalia.  
